country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
GBRTENW,2001,1,short,3,0,252426,1808,318,185,281,882,1266,1470,2163,2672,3393,4977,8294,11452,16017,23300,34192,44987,42026,52743,33182,19561,15665,3896,.,.
GBRTENW,2001,1,short,3,1,2021.87,62.27,34.32,10.77,7.98,8.65,24.27,27.07,53.6,72.67,77.63,82.78,72.85,82.07,90.75,138.19,205.55,299.7,289.81,380.93,229.77,151.16,117.12,34.05,.,.
GBRTENW,2001,1,short,3,2,72537.87,9.19,45.43,45.03,48.75,75.9,102.13,121.33,267.02,423.1,685.77,1336.51,2918.02,4479.91,6476.21,8977.33,11971.74,13776.22,10787.51,9990.77,6883.86,3106.92,2631.41,475.51,.,.
GBRTENW,2001,1,short,3,3,421.7,7.15,5.05,2.94,7.09,3.84,9.1,7.47,8.93,15.93,11.94,13.96,13.97,23.02,16.95,27.04,28.94,51.95,61.38,105.05,54.9,50.15,42.2,7.94,.,.
GBRTENW,2001,1,short,3,4,3576.54,23.48,13.12,10.77,13.3,15.37,28.31,24.27,34.74,57.74,61.71,72.81,132.73,146.13,249.32,351.48,529.84,597.4,560.51,653.51,425.98,227.53,187.81,39.72,.,.
GBRTENW,2001,1,short,3,5,4897.62,0,0,0,3.55,37.47,121.34,172.67,199.52,145.35,119.44,98.74,77.84,67.06,66.82,132.18,248.46,628.37,897.62,1881.21,1088.85,792.36,642.55,149.8,.,.
GBRTENW,2001,1,short,3,6,6569.5,58.19,56.53,20.56,44.32,78.78,51.57,61.6,97.28,119.46,133.37,147.61,209.57,236.21,289.21,454.62,672.52,1161.84,1213.59,1462.66,966.85,495.8,422.04,73.77,.,.
GBRTENW,2001,1,short,3,7,70752.52,25.52,8.08,1.96,15.07,28.82,40.45,54.13,174.71,336.49,681.78,1302.6,2312.26,3320.9,4883.58,7140.81,10333.33,13381.61,12343.24,14367.16,9273.03,5094.14,4146.52,947.61,.,.
GBRTENW,2001,1,short,3,8,22548.55,3.06,1.01,5.87,2.66,6.73,16.18,29.87,34.74,70.68,140.34,208.46,385.21,572.5,805.79,1484.04,2665.15,4291.71,4875.51,6949.04,4347.27,2601.77,2062.71,539.06,.,.
GBRTENW,2001,1,short,3,9,9028.13,3.06,1.01,0,0.89,4.8,1.01,13.07,20.85,33.85,49.77,83.78,154.68,263.23,493.64,909.25,1494.72,1920.08,1742.91,1837.53,1226.1,611.43,513.83,97.6,.,.
GBRTENW,2001,1,short,3,10,12877.81,32.67,15.14,1.96,0.89,6.73,10.11,14.93,27.79,53.76,63.7,112.71,154.68,221.19,310.15,509.7,952.91,1888.11,2490.59,6010.09,3023.57,2986.52,2152.39,834.13,.,.
