country,year,sex,agf,total,e0,e1,e5,e10,e15,e20,e25,e30,e35,e40,e45,e50,e55,e60,e65,e70,e75,e80,e85p,e85,e90p,e90,e95p,e95,e100p
GBRTENW,2001,1,4,25555614.56,304060.21,1281740,1695963,1756245.02,1653794.24,1577382.33,1740494.15,2013435.43,2049395.12,1831994.81,1643774.32,1765344.72,1498347.84,1253883.5,1106179.09,946283.75,735103.74,426998.55,275194.74,203405.94,71788.8,61751.71,10037.09,9368.65,668.44
GBRTENW,2002,1,4,25690864.61,302883.21,1256750.88,1680460.52,1767073.61,1688278.26,1613612.5,1691147.05,1982882.51,2070975.32,1885067,1661956.6,1693365.39,1607369.57,1258582.83,1116500.89,950594.91,732374.97,454587.32,276401.27,201011.13,75390.14,64663.01,10727.13,10014.9,712.23
GBRTENW,2003,1,4,25836545.1,312050.66,1240085.01,1671172.37,1761365.86,1719990.29,1658124.03,1657052.75,1947983.26,2074567.06,1932185.77,1691686.74,1646253.14,1670072.36,1280638.19,1132984.24,952923.03,733532.43,480239.03,273638.88,194921.9,78716.98,67288.98,11428,10693.34,734.66
GBRTENW,2004,1,4,26010140.24,321223.28,1236172.72,1656584.18,1758265.4,1738226.51,1701533.82,1662966.28,1903628.25,2069352.87,1974286.42,1731352.34,1619531.91,1705470.27,1313615.78,1147431.14,955011.08,738694.23,500108.01,276685.75,194195.9,82489.85,70226.34,12263.51,11457.11,806.4
GBRTENW,2005,1,4,26213779.94,328322.04,1245368.4,1639236.07,1746505.27,1750327.08,1745235.08,1698407.23,1865809.19,2050659.13,2019710.6,1775100.14,1608429.7,1719185.69,1358946.81,1154067.21,959501.84,747414.87,505376.59,296177,210154.93,86022.07,72961.84,13060.23,12148.69,911.54
GBRTENW,2006,1,4,26429967.79,336127.42,1266303.71,1618142.87,1727108.77,1776251.27,1778904.24,1750658.22,1813330.85,2039178.59,2049603.79,1822980.64,1614819.96,1712347.68,1421750.05,1148887.39,967640.61,758096.29,505575.52,322259.92,233580.6,88679.32,74704.88,13974.44,12954.59,1019.85
GBRTENW,2007,1,4,26661192.54,347199.71,1298817.88,1590219.15,1716722.85,1798854.69,1809903.12,1811113.92,1770595.33,2014458.26,2066454.65,1870813.26,1637365.41,1641031.78,1527472.32,1155533.54,981421.22,768827.31,511736.58,342651.56,252841.15,89810.41,74820.65,14989.76,13890.93,1098.83
GBRTENW,2008,1,4,26898448.77,358232.91,1335001.91,1576667.91,1708692.42,1803426.84,1829605.4,1863705.95,1753021.4,1983963.65,2069428.21,1916779.65,1670144.03,1597337.28,1590733,1181703.04,1002497.08,778108.67,519789.06,359610.36,270158.58,89451.78,73619.19,15832.59,14689.73,1142.86
GBRTENW,2009,1,4,27126701.91,357643,1373606.24,1575247.15,1695654.35,1811441.71,1842729.6,1882842.07,1773329.26,1938816.72,2065072.49,1961212.09,1709801.83,1576270.1,1628460.97,1219296.65,1021544.64,787209.62,530309.24,376214.18,284391.03,91823.15,75009.43,16813.72,15588.76,1224.96
GBRTENW,2010,1,4,27372422.58,362064.36,1403587.21,1587845.22,1681300.91,1811018.04,1871703.89,1898592.82,1807424.54,1898552,2042297.32,2005790.63,1751329.82,1568910.56,1646240.09,1267652.99,1032180.16,798276.07,543662.33,393993.62,291806.07,102187.55,84316.54,17871.01,16531.22,1339.79
GBRTENW,2011,1,4,27621807.6,368654.22,1429338.88,1617343.12,1660765.56,1797591.48,1916165.67,1912694.81,1847258.7,1843652.03,2026903.66,2032608.12,1798574.7,1578810.74,1643021.34,1333761.54,1031832.64,811798.2,557782.47,413249.72,297560.3,115689.42,96883.34,18806.08,17336.45,1469.63
