Year;Month;rate
1753;Aug;2.8537455
1753;Sep;2.8639618
1753;Oct;2.8811525
1753;Nov;2.8708134
1753;Dec;2.8880866
1754;Jan;2.8950543
1754;Feb;2.9232643
1754;Mar;2.9339853
1754;Apr;2.9055690
1754;May;2.8776978
1754;Jun;2.8708134
1754;Jul;2.8673835
1754;Aug;2.8811525
1754;Sep;2.9126214
1754;Oct;2.9161320
1754;Nov;2.9126214
1754;Dec;2.8880866
1755;Jan;2.9411765
1755;Feb;2.9925187
1755;Mar;3.0418251
1755;Apr;3.0729519
1755;May;3.0072173
1755;Jun;3.0341340
1755;Jul;3.2214765
1755;Aug;3.2564450
1755;Sep;3.2085562
1755;Oct;3.3103448
1755;Nov;3.2876712
1755;Dec;3.2345013
1756;Jan;3.3755274
1756;Feb;3.3613445
1756;Mar;3.3519553
1756;Apr;3.3057851
1756;May;3.3519553
1756;Jun;3.3613445
1756;Jul;3.3802817
1756;Aug;3.3613445
1756;Sep;3.3519553
1756;Oct;3.3946252
1756;Nov;3.3898305
1756;Dec;3.3898305
1757;Jan;3.4582133
1757;Feb;3.4188034
1757;Mar;3.3287101
1757;Apr;3.3660589
1757;May;3.3333333
1757;Jun;3.3333333
1757;Jul;3.3755274
1757;Aug;3.3472803
1757;Sep;3.2786885
1757;Oct;3.2967033
1757;Nov;3.2876712
1757;Dec;3.3057851
1758;Jan;3.3149171
1758;Feb;3.2432432
1758;Mar;3.1914894
1758;Apr;3.1914894
1758;May;3.1372549
1758;Jun;3.1007752
1758;Jul;3.2345013
1758;Aug;3.2653061
1758;Sep;3.3057851
1758;Oct;3.3426184
1758;Nov;3.3057851
1758;Dec;3.3426184
1759;Jan;3.3898305
1759;Feb;3.4582133
1759;Mar;3.5820896
1759;Apr;3.6923077
1759;May;3.7735849
1759;Jun;3.7850114
1759;Jul;3.8523274
1759;Aug;3.6697248
1759;Sep;3.6529680
1759;Oct;3.6697248
1759;Nov;3.4883721
1759;Dec;3.5502959
1760;Jan;3.7500000
1760;Feb;3.7383178
