Year,Month,rate
1753,Aug,2.853745541
1753,Sep,2.863961814
1753,Oct,2.881152461
1753,Nov,2.870813397
1753,Dec,2.888086643
1754,Jan,2.895054282
1754,Feb,2.923264312
1754,Mar,2.93398533
1754,Apr,2.905569007
1754,May,2.877697842
1754,Jun,2.870813397
1754,Jul,2.867383513
1754,Aug,2.881152461
1754,Sep,2.912621359
1754,Oct,2.916132042
1754,Nov,2.912621359
1754,Dec,2.888086643
1755,Jan,2.941176471
1755,Feb,2.992518703
1755,Mar,3.041825095
1755,Apr,3.072951878
1755,May,3.007217322
1755,Jun,3.034134008
1755,Jul,3.22147651
1755,Aug,3.256445047
1755,Sep,3.20855615
1755,Oct,3.310344828
1755,Nov,3.287671233
1755,Dec,3.234501348
1756,Jan,3.375527426
1756,Feb,3.361344538
1756,Mar,3.351955307
1756,Apr,3.305785124
1756,May,3.351955307
1756,Jun,3.361344538
1756,Jul,3.38028169
1756,Aug,3.361344538
1756,Sep,3.351955307
1756,Oct,3.394625177
1756,Nov,3.389830508
1756,Dec,3.389830508
1757,Jan,3.458213256
1757,Feb,3.418803419
1757,Mar,3.328710125
1757,Apr,3.366058906
1757,May,3.333333333
1757,Jun,3.333333333
1757,Jul,3.375527426
1757,Aug,3.347280335
1757,Sep,3.278688525
1757,Oct,3.296703297
1757,Nov,3.287671233
1757,Dec,3.305785124
1758,Jan,3.314917127
1758,Feb,3.243243243
1758,Mar,3.191489362
1758,Apr,3.191489362
1758,May,3.137254902
1758,Jun,3.100775194
1758,Jul,3.234501348
1758,Aug,3.265306122
1758,Sep,3.305785124
1758,Oct,3.342618384
1758,Nov,3.305785124
1758,Dec,3.342618384
1759,Jan,3.389830508
1759,Feb,3.458213256
1759,Mar,3.582089552
1759,Apr,3.692307692
1759,May,3.773584906
1759,Jun,3.785011355
1759,Jul,3.852327448
1759,Aug,3.669724771
1759,Sep,3.652968037
1759,Oct,3.669724771
1759,Nov,3.488372093
1759,Dec,3.550295858
1760,Jan,3.75
1760,Feb,3.738317757
1760,Mar,3.652968037
1760,Apr,3.636363636
1760,May,3.636363636
1760,Jun,3.560830861
1760,Jul,3.582089552
1760,Aug,3.587443946
1760,Sep,3.625377644
1760,Oct,3.614457831
1760,Nov,3.80952381
1760,Dec,3.966942149
1761,Jan,4.09556314
1761,Feb,4.074702886
1761,Mar,3.8647343
1761,Apr,3.409090909
1761,May,3.409090909
1761,Jun,3.498542274
1761,Jul,3.773584906
1761,Aug,3.870967742
1761,Sep,4.09556314
1761,Oct,4.173913043
1761,Nov,4.262877442
1761,Dec,4.511278195
1762,Jan,4.848484848
1762,Feb,4.411764706
1762,Mar,4.285714286
1762,Apr,4.316546763
1762,May,4.137931034
1762,Jun,4.166666667
1762,Jul,3.986710963
1762,Aug,3.498542274
1762,Sep,3.592814371
1762,Oct,3.697996918
1762,Nov,3.47826087
1762,Dec,3.243243243
1763,Jan,3.342618384
1763,Feb,3.178807947
1763,Mar,3.162022008
1763,Apr,3.178807947
1763,May,3.204272363
1763,Jun,3.20855615
1763,Jul,3.324099723
1763,Aug,3.438395415
1763,Sep,3.680981595
1763,Oct,3.592814371
1763,Nov,3.493449782
1763,Dec,3.50877193
1764,Jan,3.576751118
1764,Feb,3.524229075
1764,Mar,3.519061584
1764,Apr,3.428571429
1764,May,3.488372093
1764,Jun,3.47826087
1764,Jul,3.53460972
1764,Aug,3.614457831
1764,Sep,3.614457831
1764,Oct,3.566121842
1764,Nov,3.56040826
1764,Dec,3.399433428
1765,Jan,3.503649635
1765,Feb,3.443328551
1765,Mar,3.409090909
1765,Apr,3.423680456
1765,May,3.433476395
1765,Jun,3.385049365
1765,Jul,3.413940256
1765,Aug,3.342618384
1765,Sep,3.25203252
1765,Oct,3.265306122
1765,Nov,3.278688525
1765,Dec,3.265306122
1766,Jan,3.356643357
1766,Feb,3.399433428
1766,Mar,3.366058906
1766,Apr,3.3566058
1766,May,3.333333333
1766,Jun,3.305785124
1766,Jul,3.413940256
1766,Aug,3.337969402
1766,Sep,3.356643357
1766,Oct,3.370786517
1766,Nov,3.356643357
1766,Dec,3.328710125
1767,Jan,3.361344538
1767,Feb,3.370786517
1767,Mar,3.375527426
1767,Apr,3.370786517
1767,May,3.385049365
1767,Jun,3.366058906
1767,Jul,3.433790791
1767,Aug,3.399433428
1767,Sep,3.394625177
1767,Oct,3.375527426
1767,Nov,3.319502075
1767,Dec,3.238866397
1768,Jan,3.310344828
1768,Feb,3.278688525
1768,Mar,3.234501348
1768,Apr,3.2
1768,May,3.178807947
1768,Jun,3.174603175
1768,Jul,3.342618384
1768,Aug,3.324099723
1768,Sep,3.394625177
1768,Oct,3.418803419
1768,Nov,3.385049365
1768,Dec,3.333333333
1769,Jan,3.399433428
1769,Feb,3.404255319
1769,Mar,3.370786517
1769,Apr,3.385049365
1769,May,3.347280335
1769,Jun,3.342618384
1769,Jul,3.342618384
1769,Aug,3.361344538
1769,Sep,3.409090909
1769,Oct,3.394625177
1769,Nov,3.50877193
1769,Dec,3.473227207
1770,Jan,3.576751118
1770,Feb,3.504672897
1770,Mar,3.493449782
1770,Apr,3.458213256
1770,May,3.448275862
1770,Jun,3.519061584
1770,Jul,3.571428571
1770,Aug,3.53460972
1770,Sep,3.821656051
1770,Oct,3.797468354
1770,Nov,3.846153846
1770,Dec,3.833375926
1771,Jan,3.555555556
1771,Feb,3.409090909
1771,Mar,3.50877193
1771,Apr,3.428571429
1771,May,3.38028169
1771,Jun,3.370786517
1771,Jul,3.438395415
1771,Aug,3.433476395
1771,Sep,3.463203463
1771,Oct,3.45323741
1771,Nov,3.448275862
1771,Dec,3.394625177
1772,Jan,3.418803419
1772,Feb,3.413940256
1772,Mar,3.38028169
1772,Apr,3.366058906
1772,May,3.333333333
1772,Jun,3.351955307
1772,Jul,3.399048266
1772,Aug,3.389830508
1772,Sep,3.404255319
1772,Oct,3.433476395
