country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
GBRTENW,2001,1,interm,3,I000,252426,1808,318,185,281,882,1266,1470,2163,2672,3393,4977,8294,11452,16017,23300,34192,44987,42026,52743,33182,19561,15665,3896,.,.
GBRTENW,2001,1,interm,3,I001,264.23,0,2.02,0,0,0,0,0,0,1,1,1,1,1,1.99,3,31.93,46.95,58.37,114.98,65.07,50.29,36.93,13.62,.,.
GBRTENW,2001,1,interm,3,I002,238.4,0,0,0,0,0,4.04,5.6,4.96,6.97,7.96,9.97,5.99,9.01,7.98,21.03,38.91,47.95,47.3,20.72,14.23,6.42,6.33,0,.,.
GBRTENW,2001,1,interm,3,I003,819.74,25.52,9.09,4.89,2.66,3.84,1.01,2.8,11.91,9.96,7.96,9.97,20.96,30.03,39.89,60.08,92.8,152.85,141.89,191.63,118.95,72.77,58.03,14.75,.,.
GBRTENW,2001,1,interm,3,I004,133.71,0,0,0,0,0,2.02,0.93,0.99,11.95,16.92,29.92,20.96,10.01,13.96,9.01,5.99,6.99,3.02,1.04,1.02,0,0,0,.,.
GBRTENW,2001,1,interm,3,I005,119.01,2.04,0,0,0,0,1.01,8.4,23.82,19.91,27.87,13.96,5.99,8.01,1,4.01,2,1,0,0,0,0,0,0,.,.
GBRTENW,2001,1,interm,3,I006,446.01,34.71,23.22,5.87,5.32,4.8,16.18,9.33,11.91,22.9,15.92,17.95,17.96,24.02,25.93,41.06,33.93,43.96,39.25,51.79,30.5,21.4,15.83,5.67,.,.
GBRTENW,2001,1,interm,3,I007,1098.2,0,0,0,0.89,0,2.02,2.8,6.95,2.99,18.91,74.8,111.77,157.14,132.64,146.2,135.7,139.86,77.48,88.05,62.02,25.68,20.05,5.67,.,.
GBRTENW,2001,1,interm,3,I008,3927.1,0,0,0,0,0,2.02,0.93,9.93,12.94,37.82,101.73,234.52,330.29,421.84,514.71,657.56,685.31,538.37,379.12,265.35,112.36,99.18,12.48,.,.
GBRTENW,2001,1,interm,3,I009,3498.88,0,0,0,0.89,0,0,3.73,8.93,18.92,27.87,51.86,100.79,169.15,290.2,442.61,631.61,694.31,550.44,507.56,371.08,133.76,117.12,15.89,.,.
GBRTENW,2001,1,interm,3,I010,7509.87,0,0,0,0,1.92,1.01,1.87,12.9,30.86,66.69,131.66,333.32,461.4,708.05,973.34,1292.17,1416.58,1051.58,1026.52,720.82,301.76,245.84,55.61,.,.
GBRTENW,2001,1,interm,3,I011,2864.74,0,0,0,0,0,0,0,6.95,16.92,38.82,78.79,133.73,234.2,318.13,384.53,475.96,500.5,359.25,316.97,212.48,103.8,89.68,13.62,.,.
GBRTENW,2001,1,interm,3,I012,2497.67,0,1.01,0,0,2.88,4.04,8.4,12.9,17.92,34.84,60.84,103.79,186.16,228.37,342.47,398.13,484.52,308.93,302.47,189.1,113.43,96.01,17.02,.,.
GBRTENW,2001,1,interm,3,I013,18328.92,0,0,0,0,0,0,2.8,12.9,31.86,87.59,284.26,706.55,1231.07,1872.86,2646.63,3428.48,3764.23,2529.83,1729.86,1257.62,463.34,405.16,55.61,.,.
GBRTENW,2001,1,interm,3,I014,976.76,0,0,0,0,0,5.06,8.4,17.87,29.87,23.89,41.89,78.84,76.07,89.75,106.15,115.75,137.86,109.69,135.7,96.58,38.52,28.49,10.21,.,.
GBRTENW,2001,1,interm,3,I015,80.36,0,0,0,0,0,0,0,0,0,0,1.99,2.99,2,10.97,7.01,11.97,19.98,13.08,10.36,8.13,2.14,2.11,0,.,.
GBRTENW,2001,1,interm,3,I016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,interm,3,I017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,interm,3,I018,9024.16,0,0,0,0,0,0,0,0,1,2.99,17.95,64.87,159.14,397.91,759.04,1289.17,1956.04,1953.22,2422.83,1577.87,842.15,704.8,135.05,.,.
GBRTENW,2001,1,interm,3,I019,160.33,0,0,0,0,1.92,2.02,1.87,9.93,11.95,8.96,7.98,4.99,15.01,13.96,18.02,13.97,15.98,14.09,19.68,9.15,10.7,9.5,1.13,.,.
GBRTENW,2001,1,interm,3,I020,2980.89,0,0,0.98,0,0,0,0,1.99,4.98,8.96,19.95,47.9,115.1,183.5,284.39,475.96,611.39,550.44,675.37,438.18,236.49,188.86,47.66,.,.
GBRTENW,2001,1,interm,3,I021,1761.04,0,1.01,2.94,0,0,0,5.6,7.94,12.94,17.92,47.87,123.75,145.13,200.45,230.32,293.36,277.72,230.44,163.66,120.98,41.73,35.87,5.67,.,.
GBRTENW,2001,1,interm,3,I022,2119.42,2.04,8.08,16.64,20.39,20.18,24.27,18.67,31.77,39.82,39.81,54.86,83.83,105.09,158.56,236.32,275.4,364.64,294.85,324.22,217.57,105.94,89.68,15.89,.,.
GBRTENW,2001,1,interm,3,I023,15749.84,7.15,35.33,24.47,26.59,49,61.68,66.27,126.07,190.15,270.72,360.06,786.39,1092.95,1449.02,1885.59,2476.57,2707.29,2205.8,1928.74,1336.92,585.33,499.06,83.98,.,.
GBRTENW,2001,1,interm,3,I024,421.27,7.15,5.05,2.94,7.09,3.84,9.1,7.47,8.93,15.93,11.94,13.96,13.97,23.02,16.95,27.04,28.94,51.95,61.38,104.62,54.9,50.29,42.2,7.94,.,.
GBRTENW,2001,1,interm,3,I025,2977.35,0,0,0,0,0,4.04,12.13,17.87,31.86,39.81,56.85,94.81,116.1,201.45,297.41,471.96,532.47,511.2,589.39,389.38,199.03,164.59,34.05,.,.
GBRTENW,2001,1,interm,3,I026,600.32,23.48,13.12,10.77,13.3,15.37,24.27,12.13,16.88,25.88,21.9,15.96,37.92,30.03,47.87,54.07,57.87,64.94,49.31,65.26,36.6,28.89,23.21,5.67,.,.
GBRTENW,2001,1,interm,3,I027,266.09,0,0,0,0,0,2.02,7.47,7.94,15.93,33.84,38.9,44.91,42.04,28.92,18.02,10.98,7.99,4.03,3.11,3.05,0,0,0,.,.
GBRTENW,2001,1,interm,3,I028,747.84,0,0,0,3.55,32.67,114.26,158.67,183.64,110.5,73.65,43.89,14.97,6.01,1.99,3,0,0,0,1.04,1.02,0,0,0,.,.
GBRTENW,2001,1,interm,3,I029,3792.26,0,0,0,0,0,0,0,0.99,2.99,3.98,4.99,8.98,14.01,29.92,107.15,234.49,619.38,892.59,1872.8,1084.78,792.93,642.55,149.8,.,.
GBRTENW,2001,1,interm,3,I030,6573.6,58.19,56.53,20.56,44.32,78.78,51.57,61.6,97.28,119.46,133.37,147.61,209.57,236.21,289.21,454.62,672.52,1161.84,1213.59,1466.75,966.85,497.59,422.04,73.77,.,.
GBRTENW,2001,1,interm,3,I031,353.17,0,0,0,0,0.96,2.02,0.93,2.98,2.99,2.99,5.98,10.98,21.02,15.96,38.05,57.87,65.93,63.4,61.11,36.6,24.61,22.16,2.27,.,.
GBRTENW,2001,1,interm,3,I032,1395.21,0,0,0,0,0,1.01,0,6.95,2.99,14.93,34.91,66.86,70.06,108.7,148.2,165.64,278.72,244.53,251.71,161.65,89.89,75.97,13.62,.,.
GBRTENW,2001,1,interm,3,I033,59044.23,2.04,2.02,0,0.89,0.96,5.06,17.73,83.38,226.98,538.46,1094.14,2000.9,2912.54,4361.02,6279.62,9093.05,11375.62,10180.71,10869.09,7264.09,3582.62,2950.05,626.45,.,.
GBRTENW,2001,1,interm,3,I034,9976.44,23.48,6.06,1.96,14.18,26.9,32.36,35.47,81.4,103.54,125.41,167.56,233.52,317.28,397.91,674.93,1016.77,1661.34,1854.61,3201.79,1810.69,1401.8,1098.35,305.28,.,.
GBRTENW,2001,1,interm,3,I035,22545.86,3.06,1.01,5.87,2.66,6.73,16.18,29.87,34.74,70.68,140.34,208.46,385.21,572.5,805.79,1484.04,2665.15,4291.71,4875.51,6946.36,4347.27,2600.29,2062.71,539.06,.,.
GBRTENW,2001,1,interm,3,I036,9033.36,3.06,1.01,0,0.89,4.8,1.01,13.07,20.85,33.85,49.77,83.78,154.68,263.23,493.64,909.25,1494.72,1920.08,1742.91,1842.76,1226.1,613.15,513.83,97.6,.,.
GBRTENW,2001,1,interm,3,I037,18.28,2.04,2.02,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,3.02,6.22,4.07,2.14,2.11,0,.,.
GBRTENW,2001,1,interm,3,I038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,interm,3,I039,12498.93,17.36,8.08,1.96,0.89,5.76,9.1,14,24.82,49.78,60.71,110.71,142.71,212.19,294.19,495.68,920.98,1842.16,2431.21,5856.65,2963.59,2930.94,2122.85,825.05,.,.
GBRTENW,2001,1,interm,3,I040,305.56,13.27,5.05,0,0,0.96,1.01,0.93,2.98,2.99,2.99,1.99,11.98,9.01,14.96,14.02,30.93,43.96,56.35,92.19,55.92,36.38,27.43,9.08,.,.
GBRTENW,2001,1,interm,3,I041,13988.37,0,4.04,0.98,3.55,5.76,5.06,9.33,12.9,32.85,40.81,78.79,176.64,388.34,673.15,1197.64,2283.99,3096.9,2829.71,3147.92,2192.95,943.81,791.32,149.8,.,.
GBRTENW,2001,1,interm,3,I042,4705.44,18.38,8.08,5.87,3.55,1.92,9.1,8.4,17.87,32.85,26.87,30.92,74.85,132.12,202.44,351.48,586.71,872.13,932.84,1389.06,801.13,591.75,450.53,142.99,.,.
GBRTENW,2001,1,interm,3,I043,1768.72,0,0,0,0.89,0.96,1.01,1.87,3.97,9.96,21.9,22.94,63.87,85.07,93.74,156.21,244.46,342.66,305.91,413.3,258.23,155.16,125.56,29.51,.,.
GBRTENW,2001,1,interm,3,I044,3742.01,2.04,2.02,0.98,0,1.92,9.1,20.53,89.34,186.16,358.31,467.78,600.77,525.46,401.9,338.46,281.38,225.77,136.86,93.23,62.02,31.03,27.43,3.4,.,.
GBRTENW,2001,1,interm,3,I045,5206.63,14.29,11.1,2.94,1.77,2.88,12.13,8.4,41.69,47.79,56.73,97.74,147.7,185.16,285.22,383.53,680.51,965.03,997.24,1264.76,764.53,501.87,397.77,104.41,.,.
GBRTENW,2001,1,interm,3,I046,364.7,0,0,0,0,0,0,0,0,1,1.99,6.98,7.98,9.01,15.96,20.03,46.9,59.94,64.4,130.52,76.25,54.57,46.42,7.94,.,.
GBRTENW,2001,1,interm,3,I047,1305.28,0,1.01,0.98,3.55,5.76,1.01,2.8,9.93,6.97,7.96,11.97,43.91,27.02,73.8,116.16,140.69,224.78,201.26,425.73,230.78,196.89,150.88,46.53,.,.
GBRTENW,2001,1,interm,3,I048,3321.15,2.04,1.01,0.98,0.89,5.76,3.03,5.6,6.95,16.92,5.97,36.9,37.92,59.05,102.72,184.25,307.33,593.41,673.21,1277.19,738.1,542.53,417.82,125.97,.,.
GBRTENW,2001,1,interm,3,I049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,interm,3,I050,1125.86,1116.86,7.07,0.98,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,interm,3,I051,908.49,381.81,45.43,13.7,19.5,36.51,22.25,20.53,27.79,35.84,31.85,20.95,31.93,49.04,52.85,25.03,32.93,26.97,21.13,12.43,7.12,5.35,4.22,1.13,.,.
GBRTENW,2001,1,interm,3,I052,2244.04,3.06,13.12,25.45,59.39,261.33,263.92,224,235.26,207.07,151.29,117.69,106.78,104.09,78.78,80.11,81.82,94.91,61.38,74.58,53.88,20.33,18.99,1.13,.,.
GBRTENW,2001,1,interm,3,I053,4222.32,21.44,26.25,18.6,25.71,93.2,167.86,218.4,241.22,283.73,240.86,228.4,219.55,196.17,183.5,179.25,266.42,359.64,464.91,787.24,416.83,374.53,296.48,78.31,.,.
GBRTENW,2001,1,interm,3,I054,2615.28,0,0,0,2.66,86.47,172.91,232.4,346.44,299.65,272.71,264.31,243.5,180.16,123.66,90.12,87.81,93.91,54.34,64.22,42.7,21.4,16.88,4.54,.,.
