"country","year","sex","agf","total","e0","e1","e5","e10","e15","e20","e25","e30","e35","e40","e45","e50","e55","e60","e65","e70","e75","e80","e85p","e85","e90p","e90","e95p","e95","e100p"
"GBRTENW",1950,1,4,21015764.12,357952.57,1549616.38,1571520.74,1441845.14,1286036.38,1455707.42,1664948.28,1487695.23,1668809.46,1668372.99,1548334.12,1285838.73,1101870.57,949340.41,782618.74,593310.5,371917.98,167887.6,62140.88,51729.87,10411.01,9439.17,971.84,928.11,43.73
"GBRTENW",1951,1,4,21067137.44,342974.68,1540095.39,1655299.66,1431361.6,1346902.13,1411831.67,1615603.51,1529408.88,1622763.68,1661700.82,1560781.41,1327714.4,1095289.96,942904.25,779464.96,591405.13,376129.33,172324.75,63181.23,52484.29,10696.94,9718.6,978.34,931.71,46.63
"GBRTENW",1952,1,4,21160579.78,336671.16,1449957.88,1788029.43,1438547.51,1389061.05,1380803.52,1569727.51,1596284.44,1560854.81,1661007.46,1571728.66,1379757.71,1100209.67,946659.47,779226.5,590368.18,380133.88,176947.78,64603.16,53611.9,10991.26,10005.98,985.28,938.68,46.6
"GBRTENW",1953,1,4,21283936.37,341723.51,1388867.4,1858171.46,1470722.2,1417901.18,1371455.52,1533864.49,1665338.4,1486627.13,1653850.59,1589439.76,1428310.76,1113993.98,955397.42,782781.58,590396.76,384892.38,182969.92,67231.93,55698.69,11533.24,10533.63,999.61,952.97,46.64
"GBRTENW",1954,1,4,21406935.13,342562.01,1357434.88,1890474.16,1518196.67,1436193.71,1373156.4,1504230.52,1692448.98,1446478.2,1645593.23,1605530.74,1467333.76,1141564.49,963832.11,785045.07,590844.85,387049.17,189098.68,69867.5,57809.21,12058.29,11018.8,1039.49,994.25,45.24
"GBRTENW",1955,1,4,21519517.74,336620.67,1346240.39,1895520.8,1579121.74,1441504.34,1381929.97,1479013.77,1660527.88,1471533.54,1630291.03,1614314.99,1491688.59,1188022.33,971645.39,785410.15,592690.39,386697.91,194443.61,72300.25,59917.1,12383.15,11279.01,1104.14,1061.93,42.21
"GBRTENW",1956,1,4,21637591.72,345987.66,1340416.82,1872514.6,1664722.92,1433477.56,1399697.74,1455791.33,1608419.68,1532038.81,1596453.55,1618992.67,1506648.98,1242081.46,978915.84,788185.24,593563.25,386403.39,198768.35,74511.87,61870.33,12641.54,11465.47,1176.07,1141.09,34.98
"GBRTENW",1957,1,4,21768566.41,358622.57,1350030.35,1778116.01,1794347.07,1442315.43,1420699.64,1441960.88,1565895.53,1599265.16,1541800.43,1617567.16,1521116.03,1292253.88,988245.6,794231.34,594411.96,387061.78,203061.05,77564.54,64425.96,13138.58,11889.9,1248.68,1210.96,37.72
"GBRTENW",1958,1,4,21909248.33,370151.99,1368674.72,1723063.89,1859686.06,1475516.14,1439334.13,1439126.24,1535644.99,1662063.1,1475274.2,1611161.12,1536762.68,1338789.87,1002379.57,801196.83,596094.64,387380.63,205938.3,81009.23,67205.48,13803.75,12479.7,1324.05,1270.31,53.74
"GBRTENW",1959,1,4,22058067.81,379417,1398854.53,1691164.88,1890892.38,1524124.98,1448983.02,1440328.79,1513974.83,1682895.64,1443293.39,1604968.88,1549375.77,1376295.71,1028604.6,808028.33,597266.58,387842.98,207383.6,84371.92,69877.95,14493.97,13101.67,1392.3,1323.92,68.38
"GBRTENW",1960,1,4,22216375,386157.88,1442632.59,1673822.14,1894571.75,1587769.98,1446886.12,1443778.29,1501234.78,1649333.59,1472240.94,1591279.7,1556318.7,1400947.31,1068732.31,815002.11,598847.59,389270.79,209177.12,88371.31,72966.76,15404.55,13944.58,1459.97,1381.87,78.1
"GBRTENW",1961,1,4,22401593.48,403452.45,1483568.63,1680625.43,1874550.26,1668860.25,1441148.15,1447915.72,1497458.55,1602419.65,1529385.6,1564226.28,1559635.63,1418628.73,1112714.8,822225.03,602157.54,390399.6,210310.04,91911.14,75624.07,16287.07,14757.89,1529.18,1450.9,78.28
"GBRTENW",1962,1,4,22612097.95,416463.34,1530369.65,1709224.04,1791559.83,1787311.9,1457115.27,1458428.27,1497144.7,1570450.54,1587349.24,1523128.46,1561183.88,1435677.08,1153711.36,830297.46,606866.15,391573.57,210076.22,94166.99,77115.21,17051.78,15440.59,1611.19,1538.76,72.43
"GBRTENW",1963,1,4,22807823.87,425453.52,1576834.82,1746079.4,1741319.61,1849480.77,1488301.36,1475506.25,1488409.47,1547079.86,1643919.86,1461856.17,1561698.43,1453066.87,1195647,841587.32,612551.21,394938.49,208884.95,95208.51,77483.16,17725.35,16000.14,1725.21,1652.2,73.01
"GBRTENW",1964,1,4,22983963.65,429369.47,1619313.35,1787894.2,1709208.3,1884453.42,1527036.62,1489148.39,1471335.77,1526655.87,1668542.09,1419732.64,1560529.78,1468340.33,1234523.77,861811.06,618767.95,400849.01,209216.23,97235.4,78453.48,18781.92,16912.35,1869.57,1785.86,83.71
"GBRTENW",1965,1,4,23153876.76,431535,1661742.25,1831044.42,1691664,1891987.35,1579342.52,1499347.98,1460810.33,1511857.09,1639390.24,1439119.11,1550000.84,1477294.45,1260525.83,890898.5,623474.5,402574.33,210770.98,100497.04,80373.58,20123.46,18079.12,2044.34,1948.02,96.32
"GBRTENW",1966,1,4,23304735.66,427732.93,1690899.49,1877982.34,1691432.52,1877349.31,1654019.7,1498073.73,1460986.05,1500657.01,1592072.14,1492739.71,1520749.73,1478962.4,1276151.4,924280.15,626869.64,400044.6,211149.11,102583.7,81547.78,21035.92,18838.02,2197.9,2095.51,102.39
"GBRTENW",1967,1,4,23443861.58,422807.6,1701997.3,1929261.04,1711018.18,1796604.77,1773385.63,1503845.21,1464361.14,1487483.33,1554250.58,1548453.09,1470233.06,1476618.78,1291694.57,960638.32,632191.07,402152.8,212299.4,104565.71,82635.81,21929.9,19554.96,2374.94,2263.91,111.03
"GBRTENW",1968,1,4,23558978.81,411873.82,1699156.15,1980506.78,1743406.56,1746958.33,1838419.25,1522269.85,1472978.41,1468231.15,1524251.87,1603727.52,1401924.54,1473109.97,1308747.15,997565.24,639602.32,406509.34,213779.41,105961.15,83331.13,22630.02,20103.92,2526.1,2404.77,121.33
"GBRTENW",1969,1,4,23658527.25,408189.28,1677883.48,2024657.79,1783970.63,1720208.27,1875373.26,1549517.68,1481688.04,1447057.44,1500452.99,1627726.73,1357401.76,1468318.02,1323016.12,1029488.42,652148.63,409070.02,215283.17,107075.52,83890.13,23185.39,20511.66,2673.73,2543.97,129.76
"GBRTENW",1970,1,4,23756881.08,395196.58,1652593.11,2061580.35,1827926.96,1707504.89,1894024.69,1592230.32,1484668.82,1431906.6,1481804.06,1597150.3,1375285.83,1457105.87,1332066.09,1054180.56,673550.9,412094.84,217011.65,108998.66,84935.53,24063.13,21189.39,2873.74,2728.45,145.29
"GBRTENW",1971,1,4,23883183.36,398200.28,1623237.05,2081276.28,1876187.06,1712714.12,1892042.48,1662436.78,1476212.92,1425982.9,1467579.5,1550963.34,1427501.89,1431605.24,1335731.87,1074260.25,701311.78,415997.65,219131.76,110810.21,85904.99,24905.22,21847.8,3057.42,2895.33,162.09
"GBRTENW",1972,1,4,23985677.97,376270.79,1598592.55,2092915.67,1927156.78,1731195.79,1815061.95,1783187.66,1478923.22,1429534.18,1455007.44,1516594.2,1485302.94,1384553.3,1335917.41,1091526.38,730795.27,419988.25,221231.5,111922.69,86395.95,25526.74,22330.35,3196.39,3033.28,163.11
"GBRTENW",1973,1,4,24047863.89,354433.83,1559922.16,2086342.46,1978023.58,1753538.81,1766956.56,1848291.56,1500458.81,1443989.48,1439929.45,1489797.61,1545603.67,1318842.81,1334533.64,1107110.47,760351.46,424331.08,222712.61,112693.84,86784.12,25909.72,22637.54,3272.18,3103.82,168.36
"GBRTENW",1974,1,4,24075784.83,331109.11,1504689.39,2064078.72,2025469.58,1786003.85,1740419.89,1881577.51,1532412.81,1457600.45,1422981.58,1468599.11,1573670.71,1277697.02,1331293.37,1120950.43,787347.06,432424.64,223563.01,113896.59,87700.22,26196.37,22859.1,3337.27,3153.6,183.67
"GBRTENW",1975,1,4,24087332.3,315547.69,1440514.03,2025454.45,2068212.34,1829353.45,1725563.24,1895421.06,1575624.44,1460709.78,1409430.81,1451777.86,1545369.5,1297016.89,1321709.04,1130609.53,809074.4,446562.69,224640.02,114741.08,88301.06,26440.02,23007.92,3432.1,3225.48,206.62
"GBRTENW",1976,1,4,24085916.7,300638.23,1358294.77,1995760.75,2090303.18,1879497.27,1729854.25,1887820.1,1642196.13,1447791.62,1402258,1437504.05,1498690.59,1347234.49,1299061.09,1135478.01,827110.3,465375.9,225953.47,115094.5,88582.18,26512.32,22984.83,3527.49,3303.81,223.68
"GBRTENW",1977,1,4,24073605.46,289511.71,1283844.6,1948265.03,2098259.69,1931355.25,1748290.54,1805657.86,1759414.74,1447592.77,1404484.68,1423759.24,1463049.71,1401590.92,1255920.83,1137990.21,843674.06,486635.45,228131.63,116176.54,89501.03,26675.51,23055.89,3619.62,3390.49,229.13
"GBRTENW",1978,1,4,24075476.6,294813.12,1222282.95,1890299.94,2087156.13,1984379.33,1771026.27,1754389.13,1824682.35,1470250.78,1418540.52,1409254.23,1436904.88,1457869.35,1195608.56,1139982.64,859412.2,508766.71,231524.43,118333.08,91108.25,27224.83,23510.07,3714.76,3478.8,235.96
"GBRTENW",1979,1,4,24108887.14,316574.84,1189456.22,1814884.75,2063778.93,2037049.24,1803881.81,1726361.69,1859385.51,1506332.52,1432402.93,1394733.14,1418207.3,1483879.16,1160265.09,1140870.92,874275.23,529812.09,236892.03,119843.74,92049.56,27794.18,23998.42,3795.76,3550.79,244.97
"GBRTENW",1980,1,4,24142728.92,325308.97,1192356.7,1737245.22,2024568.72,2086189.99,1846070.72,1707146.68,1871087.03,1551996.17,1435764.83,1381923.75,1404656.41,1458079.68,1181133.48,1136491.72,886750.35,548272.12,246394.52,121291.86,92995.91,28295.95,24390.54,3905.41,3642.6,262.81
"GBRTENW",1981,1,4,24145359.87,323892.45,1217114.18,1643012.23,1991509.86,2113031.27,1890295.31,1699382.68,1856938.13,1615327.02,1423215.4,1372864.14,1393468.14,1416457.47,1228444.56,1119693.05,894767.54,564041.97,258494.08,123410.39,94490.74,28919.65,24924.46,3995.19,3721.7,273.49
"GBRTENW",1982,1,4,24128079.61,319436.26,1250208.36,1561231.86,1939248.69,2121706.47,1932698.79,1703680.5,1769598.63,1726710.95,1424543.15,1373081.1,1381429.34,1386118.65,1279665.82,1083756.32,899644.98,578180.1,271522.8,125616.84,95958.24,29658.6,25573.22,4085.38,3796.77,288.61
"GBRTENW",1983,1,4,24136665.01,319233.79,1274921.57,1507790.65,1877767.9,2102900.6,1982465.95,1722613.79,1716693.37,1790215.65,1448028.81,1386089.81,1367100.19,1364779.31,1333200.95,1033292.09,903959.71,592051.56,285443.27,128116.04,97637.88,30478.16,26251.72,4226.44,3905.76,320.68
"GBRTENW",1984,1,4,24181138.05,320666.88,1280492.11,1499879.1,1802593.21,2066334.6,2036833.91,1760924.81,1690881.63,1827256.04,1483237.93,1399574.19,1352877.85,1349824.33,1359061,1005591.72,907698.34,605308.58,299821.6,132280.22,101023.37,31256.85,26839.63,4417.22,4075.77,341.45
