country,Year,Sex,Cause,d65,d70,d75,d80,d85,d90,d95
England and Wales,2001,Males,1,138.19,205.55,299.7,289.81,229.77,117.12,34.05
England and Wales,2001,Males,2,8977.33,11971.74,13776.22,10787.51,6883.86,2631.41,475.51
England and Wales,2001,Males,3,27.04,28.94,51.95,61.38,54.9,42.2,7.94
England and Wales,2001,Males,4,351.48,529.84,597.4,560.51,425.98,187.81,39.72
England and Wales,2001,Males,5,132.18,248.46,628.37,897.62,1088.85,642.55,149.8
England and Wales,2001,Males,6,454.62,672.52,1161.84,1213.59,966.85,422.04,73.77
England and Wales,2001,Males,7,7140.81,10333.33,13381.61,12343.24,9273.03,4146.52,947.61
England and Wales,2001,Males,8,1484.04,2665.15,4291.71,4875.51,4347.27,2062.71,539.06
England and Wales,2001,Males,9,909.25,1494.72,1920.08,1742.91,1226.1,513.83,97.6
England and Wales,2001,Males,10,509.7,952.91,1888.11,2490.59,3023.57,2152.39,834.13
England and Wales,2001,Males,11,1549.13,2870.7,3969.03,3762.55,2994.09,1241.85,292.8
England and Wales,2001,Males,12,878.21,1206.35,1533.47,1440.01,1084.78,550.76,137.32
England and Wales,2001,Males,13,136.19,187.59,284.72,265.66,307.03,197.3,54.47
England and Wales,2001,Males,14,184.25,307.33,593.41,673.21,738.1,417.82,125.97
England and Wales,2001,Males,15,25.03,32.93,26.97,21.13,7.12,4.22,1.13
England and Wales,2001,Males,16,402.55,483.94,582.42,600.76,530.7,334.47,85.12
England and Wales,2002,Males,1,145.25,195.41,304.95,328.58,263.54,120.73,40.35
England and Wales,2002,Males,2,9089.13,11956.81,13610.83,11252.05,6853.17,2679.11,515.65
England and Wales,2002,Males,3,34.82,49.85,57.99,55.27,63.86,32.54,6.73
England and Wales,2002,Males,4,323.33,529.4,578.91,612.94,428.77,215.21,68.38
England and Wales,2002,Males,5,90.53,251.24,602.9,934.49,1024.78,680.28,188.32
England and Wales,2002,Males,6,466.59,727.8,1194.81,1290.2,992.35,426.22,91.92
