"","country","Sex","Year","Age","mu","delta","fx","spx","vs","sEx","ax","hp","hc","dp","dc","Hp","Hc","Dp","Dc","rho","phi","xt"
"1","England and Wales","Females",1971,65,0.0164647303305743,0.0695202305663749,0.0163302933921141,1,1,1,8.5423790498159,1.92840719152644,59.2261962610243,4.95783901281912,59.2261962610243,0.225745916948979,6.93322034946467,0.580381528834871,6.93322034946467,0.00709549714782552,-0.0989226289515158,1
"2","England and Wales","Females",1971,66,0.0182108259356604,0.0729250401248325,0.0177518003322706,0.983669706607886,0.93125453887026,0.916046879027771,8.2336168841281,1.78775922408967,58.2261962610243,4.36397085169055,58.2261962610243,0.217129270070353,7.0717640959548,0.530018692040791,7.0717640959548,0.00789253943151213,-0.107661355278549,1
"3","England and Wales","Females",1971,67,0.020209407986854,0.0761715960866312,0.0193253520873206,0.965917906275615,0.864355658193649,0.834896607639891,7.93670989934865,1.6504062720727,56.3941025029688,3.81394255684603,56.3941025029688,0.207945898615766,7.1054761000647,0.480544533593074,7.1054761000647,0.00782983244965733,-0.115136460184419,1
"4","England and Wales","Females",1971,68,0.0224902811434682,0.0791521563522352,0.0210523955249585,0.946592554188295,0.799768610784312,0.757055012041946,7.64995339972382,1.51649202177683,53.8894126800491,3.30920425919691,53.8894126800491,0.198235458771759,7.04441058189906,0.43257835522454,7.04441058189906,0.00725328167112853,-0.120905440708883,1
"5","England and Wales","Females",1971,69,0.0250854075487823,0.0818550274450804,0.02292994853085,0.925540158663336,0.73790777997779,0.682963283759554,7.37137803864536,1.38624100773734,50.8611926318813,2.8507996459987,50.8611926318813,0.18805723983627,6.89982149405922,0.386739037267256,6.89982149405922,0.00650991562197135,-0.124793322826679,1
"6","England and Wales","Females",1971,70,0.0280285132016937,0.0843404072221344,0.0249491780080964,0.902610210132486,0.67906791189732,0.612933630651868,7.09932862179371,1.25995151985718,47.4463762130836,2.43871028781892,47.4463762130836,0.177474742610075,6.68322016640157,0.343512804905593,6.68322016640157,0.00594676282867146,-0.126887922874819,1
"7","England and Wales","Females",1971,71,0.0313538966196435,0.0866964325712711,0.0270933521865493,0.87766103212439,0.62340894763038,0.547141740412859,6.83275166298573,1.13798776353327,43.7687744291723,2.07170998349747,43.7687744291723,0.166548971726568,6.40573177366826,0.303202880139827,6.40573177366826,0.00587412952074685,-0.127409897075302,1
"8","England and Wales","Females",1971,72,0.0350894036216703,0.0890091573719476,0.029331303652579,0.850567679937841,0.570977569022377,0.485655066179911,6.57121096539695,1.02077173407411,39.9387822462823,1.74759678896995,39.9387822462823,0.155339973020095,6.07784203803442,0.265947448373297,6.07784203803442,0.00622321507162485,-0.126613372207292,1
"9","England and Wales","Females",1971,73,0.039254278482877,0.0913486902626771,0.0316164999677759,0.821236376285262,0.521740846204121,0.428472561896678,6.31472600748365,0.908789450180726,36.053541716843,1.46353813589609,36.053541716843,0.143915895813011,5.7094388060726,0.231765896756508,5.7094388060726,0.00670156615098423,-0.124733569373772,1
"10","England and Wales","Females",1971,74,0.0438588758291719,0.0937655337028916,0.0338886803949269,0.789619876317486,0.475617466537662,0.375557005101905,6.0635648843443,0.802579665864445,32.1972886597729,1.21637718770529,32.1972886597729,0.132361025431863,5.30996027483833,0.20060429976529,5.30996027483833,0.00701383875217289,-0.121967641026317,1
"11","England and Wales","Females",1971,75,0.0489013010936042,0.096292327920986,0.036074201073437,0.755731195922559,0.432501138439599,0.326854602590826,5.8180525775986,0.702703608038805,28.4417186087539,1.00285297649117,28.4417186087539,0.120779865542027,4.88852897587481,0.172369184209933,4.88852897587481,0.00686468886876412,-0.118474034626381,2
"12","England and Wales","Females",1971,76,0.0543676879808516,0.0989479588686998,0.0380906370150805,0.719656994849122,0.392275663242961,0.282303924961876,5.57839449354226,0.60971009363894,24.8463179802548,0.819737971719081,24.8463179802548,0.109298489797515,4.45402669334658,0.146948727392449,4.45402669334658,0.00598093257672423,-0.114381220211355,2
"13","England and Wales","Females",1971,77,0.0602927867931456,0.101742046502809,0.0398909663341886,0.681566357834041,0.354823262189504,0.241835598485294,5.34453464934947,0.524091713960771,21.4586708807123,0.663914462840352,21.4586708807123,0.0980612435592615,4.01506815627516,0.124223062698483,4.01506815627516,0.00442096645344672,-0.10979934566564,2
"14","England and Wales","Females",1971,78,0.0667745527049786,0.104678613734155,0.0414632425129448,0.641675391499853,0.320028316966707,0.205354295580651,5.11634360554629,0.446163363267795,18.3148081004035,0.532412996383119,18.3148081004035,0.0872035573967587,3.57966733910318,0.104061227593464,3.57966733910318,0.002498438402278,-0.104829667392934,2
"15","England and Wales","Females",1971,79,0.0739442452339936,0.107758306566874,0.0427998336397928,0.600212148986908,0.287778481364166,0.172728140731775,4.89386869970152,0.376005802246635,15.4398479622744,0.422431035693521,15.4398479622744,0.0768320168192432,3.15493710798086,0.0863184244643271,3.15493710798086,0.000533562276804367,-0.0995684387000859,2
